fold,n_var_features,n_mi_features,n_pso_features,mi_auc,pso_inner_fitness,pso_auc
1,18987,200,30,0.6225961538461539,0.8773342116820377,0.6033653846153846
2,18987,200,30,0.6490384615384616,0.8448353096179183,0.6033653846153846
3,18986,200,30,0.689903846153846,0.8294642072902942,0.5865384615384616
4,18986,200,30,0.65625,0.8356126482213437,0.7836538461538461
5,18987,200,30,0.7952069716775599,0.8225403099316143,0.8213507625272332
